price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"393 797 €770 199,99 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
188 кв.м","9-ти ет., На вашето внимание представяме изключителен 3-стаен апартамент на последен етаж в луксозна сграда с  ...",https://www.imoti.com/obiava/86246267/prodava-3-staen-grad-sofiya-gotse-delchev,0876090606,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.294840
"395 200 €772 944,02 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
189 кв.м",,https://www.imoti.com/obiava/80014050/prodava-3-staen-grad-sofiya-gotse-delchev,0879221122,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.295198
400 000 €782 332 лв.Не се начислява ДДС,Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
130 кв.м","3-ти ет., Лок.отопл., Единствено в момента на пазара предложение за продажба на завършен и обзаведен тристаен апартамент н ...",https://www.imoti.com/obiava/83461655/prodava-3-staen-grad-sofiya-gotse-delchev,0896695119,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.295565
"424 000 €829 271,92 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
146 кв.м","2-ри ет., ГАЗ, Представител продажби: агенция за инвестиции и недвижими имоти 'МултиБилдинг Пропърти' - екс ...",https://www.imoti.com/obiava/98508559/prodava-3-staen-grad-sofiya-gotse-delchev,0876090606,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.295921
"570 000 €1 114 823,10 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
170 кв.м","5-ти ет., ТЕЦ, ДИЗАЙНЕРСКИ АПАРТАМЕНТ!!! 170 КВ.М!!! БЛИЗО ДО ЮЖЕН ПАРК!!! ВЪЗМОСЖНОСТ ЗА ПРЕУСТРОЙСТВО!!!Имаме удо ...",https://www.imoti.com/obiava/23247147/prodava-3-staen-grad-sofiya-gotse-delchev,0875 363 330,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.296277
"208 000 €406 812,64 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
77 кв.м","8-ми ет., Тристаен апартамент, разположен в престижния зелен квартал Дианабад. Апартаментът се състои от 4 ста ...",https://www.imoti.com/obiava/19507879/prodava-3-staen-grad-sofiya-dianabad,0892501735,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.296648
"211 500 €413 658,04 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
90 кв.м","4-ти ет., ТЕЦ, Тристаен апартамент на 4-ти етаж в близост до МЕТРО, 105-то училище, две детски градини, магазини и  ...",https://www.imoti.com/obiava/83033255/prodava-3-staen-grad-sofiya-dianabad,0899995942,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.297011
"235 900 €461 380,30 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
99 кв.м","6-ти ет., ТЕЦ, НАЙ ДОБРА ЦЕНА спрямо СТОЙНОСТ и КАЧЕСТВО, което получавате.  Инвест Пропъртис продава eдинственият  ...",https://www.imoti.com/obiava/64184840/prodava-3-staen-grad-sofiya-dianabad,0888771488,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.297370
"280 000 €547 632,40 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
90 кв.м","1-ви ет., ТЕЦ, 📌 Референтен номер: 2097000❗ Революшън Естейт представя тристаен апартамент  в ж.к. Д ...",https://www.imoti.com/obiava/11615373/prodava-3-staen-grad-sofiya-dianabad,0899 500 900,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.297743
"298 000 €582 837,34 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Дианабад","град София, Дианабад
84 кв.м","7-ми ет., ТЕЦ, Не губете време - заповядайте на виртуална разходка, за да се убедите в уюта и качествата на този пр ...",https://www.imoti.com/obiava/31322462/prodava-3-staen-grad-sofiya-dianabad,0892502008,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.298098
