price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,search_url,scraped_at
189 800 €,Двустаен апартамент(Предварителни продажби ),"гр. София / кв. Витоша / Софийска област, България",Площ:75.92 м²Спални:1Етаж:1Етажност на сградата:4,,https://www.suprimmo.bg/imot-137077-dvustaen-apartament-za-prodajba-v-nova-luksozna-sgrada-v-kvvitosha-do-park/,SOF 137077,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.707368
799 000 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",Площ:130 м²Спални:2Етаж:3Етажност на сградата:10,,https://www.suprimmo.bg/imot-137080-tristaen-apartament-s-podzemen-garaj-v-elitna-sgrada-kosher/,SOF-137080,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.708295
249 909 €,Тристаен апартамент(Предварителни продажби ),"гр. София / кв. Витоша / Софийска област, България",Площ:109.40 м²Спални:2Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137081-tristaen-apartament-za-prodajba-v-nova-luksozna-sgrada-v-kvvitosha-do-park/,SOF 137081,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.709241
196 127 €,Двустаен апартамент(Предварителни продажби ),"гр. София / кв. Витоша / Софийска област, България",Площ:75.92 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137085-dvustaen-apartament-za-prodajba-v-nova-luksozna-sgrada-v-kvvitosha/,SOF 137085,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.710199
589 715 €,Четиристаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:168.49 м²Спални:3Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-137088-chetiristaen-apartament-v-kv-lozenets-do-seminariyata-i-borisova-gradina/,SOF-137088,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.711120
245 000 €,Тристаен апартамент,"гр. София / кв. Оборище / Софийска област, България",Площ:91.16 м²Спални:2Етаж:7Етажност на сградата:8,,https://www.suprimmo.bg/imot-137092-prostoren-tristaen-apartament-blizo-do-ul-oborishte/,SOF-137092,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.712000
176 996 €,Двустаен апартамент(Предварителни продажби ),"гр. София / кв. Център / Софийска област, България",Площ:69.41 м²Спални:1Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-134804-dvustaen-apartament-v-butikova-sgrada-v-tsentara-na-sofiya/,SOF-134804,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.712925
Цена по запитване,Тристаен апартамент(В процес на строителство),"гр. София / кв. Дианабад / Софийска област, България",Площ:214.39 м²Спални:2Етаж:8Етажност на сградата:15,,https://www.suprimmo.bg/imot-129697-tristaen-apartament-v-luksozna-sgrada-do-bul-g-m-dimitrov/,SOF-129697,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.713818
126 036 €,Двустаен апартамент,"гр. София / кв. Овча купел 1 / Софийска област, България",Площ:70.02 м²Спални:1Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-137131-funktsionalni-apartamenti-s-edna-spalnya-v-nov-jilishten-proekt/,SOF-137131,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.714672
320 230 €,Тристаен апартамент(В процес на строителство),"гр. София / кв. Бояна / Софийска област, България",Площ:99.88 м²Спални:2Етаж:1Етажност на сградата:4,,https://www.suprimmo.bg/imot-123655-tristaen-apartament-v-novostroyashta-se-sgrada-v-polite-na-vitosha/,Kbs 123655,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.715610
238 708 €,Тристаен апартамент,"гр. София / кв. Младост 2 / Софийска област, България",Площ:115.04 м²Спални:2Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-137025-tristaen-apartament-do-park-vartopo-v-kv-mladost-2/,SOF-137025,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.716526
246 648 €,Тристаен апартамент,"гр. София / кв. Младост 2 / Софийска област, България",Площ:114.72 м²Спални:2Етаж:2Етажност на сградата:6,,https://www.suprimmo.bg/imot-137029-tristaen-apartament-v-nova-sgrada-do-park-vartopo-v-kv-mladost-2/,SOF-137029,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.717539
429 166 €,Многостаен апартамент,"гр. София / кв. Младост 2 / Софийска област, България",Площ:218.44 м²Спални:4Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-137033-mnogostaen-penthaus-v-moderna-nova-sgrada-do-park-vartopo-v-kv-mladost-2/,SOF-137033,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.718479
287 000 €,Тристаен апартамент,"гр. София / кв. Симеоново / Софийска област, България",Площ:82 м²Спални:2Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-137035-tristaen-apartament-v-kompleks-manastira-v-kv-simeonovo/,SOF-137035,продава,Suprimmo,3,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:15:31.719449
