price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
207 841 €406 501.66 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","151 кв.м, 3-ти ет. от 6, реф номер 35162 ? БЕЗ КОМИСИОННА! ? НАЙ-НИСКАТА ЦЕНА В РАЙОНА!!!! ? СТАРТИРАНО СТРОИТELСТВО! ? ПРОМО ..., тел.: 0895500120",//www.imot.bg/obiava-1d174895106451025-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 2 снимки,0895500120,АВЕНЮ РИЪЛ ЕСТЕЙТ,//avenuerealestate.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.967252
214 385 €419 300.61 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","150 кв.м, 4-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., 📢 ДИРЕКТНО ОТ ИНВЕСТИТОР - БЕЗ КОМИСИОН КЪМ АГЕНЦИЯТА! 📢 ОФЕРТА: 18165  ● ГОЛД ..., тел.: 0896706299",//www.imot.bg/obiava-1d176907664232141-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 16 снимки,0896706299,ГОЛД ИМОТИ,//gold_imoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.968085
214 386 €419 302.57 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","150 кв.м, 4-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., ОФЕРТА - 8151 📢 ЧЕТИРИСТАЕН АПАРТАМЕНТ! ✔ НОВА БУТИКОВА СГРАДА! 👌 МЛАДЕЖКИ ХЪ ..., тел.: 0899425558",//www.imot.bg/obiava-1d172370853935926-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайли,0899425558,АТЛАС НЕДВИЖИМИ ИМОТИ,//atlasimotibg.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.968904
214 390 €419 310.39 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","150 кв.м, 4-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., 📢 ДИРЕКТНО ОТ ИНВЕСТИТОР - БЕЗ КОМИСИОН КЪМ АГЕНЦИЯТА! 📢  ОФЕРТА: 12652 ● 'ГОЛ ..., тел.: 0896 706 299",//www.imot.bg/obiava-1d176432180627644-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 3 снимки,0896 706 299,ГОЛД ИМОТИ,//gold_imoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.969716
214 500 €419 525.54 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","150 кв.м, Ще бъде въведен в експлоатация 2026 г., 🙏 С всяка сделка ние от Diamond Home помагаме! 💎 Даряваме процент от нашата комисион ..., тел.: 0883382222",//www.imot.bg/obiava-1d174902431251431-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 2 снимки,0883382222,ДАЙМЪНД ХОУМ БЪЛГАРИЯ ЕООД,//diamondhome.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.970517
215 370 €421 227.11 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","150 кв.м, 2-ри ет. от 6, Ще бъде въведен в експлоатация 2026 г., 📢 ДИРЕКТНО ОТ ИНВЕСТИТОР - БЕЗ КОМИСИОН КЪМ АГЕНЦИЯТА! 📢 ОФЕРТА: 18164 ●  ГОЛД ..., тел.: 0896706299",//www.imot.bg/obiava-1d176899206372242-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 17 снимки,0896706299,ГОЛД ИМОТИ,//gold_imoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.971365
215 372 €421 231.02 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","151 кв.м, 2-ри ет. от 6, Ще бъде въведен в експлоатация 2026 г., 🏡 ФУНКЦИОНАЛНО РАЗПРЕДЕЛЕНИЕ / ГОЛЕМИ СТАИ / ДВЕ ИЗЛОЖЕНИЯ Никол Дончева   0894555650 Детайл ..., тел.: 0894555650",//www.imot.bg/obiava-1d174713793013679-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 4 снимки,0894555650,НОВ ДОМ 1,//novdom1pd.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.972183
215 373 €421 232.97 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","151 кв.м, 3-ти ет. от 6, 2026 г., (ОФЕРТА-8979) АКРОНА ИМОТИ има удоволствието да Ви представи просторен 4-стаен апартамент ново строи ..., тел.: 0897650416",//www.imot.bg/obiava-1d176224312698419-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 2 снимки,0897650416,АКРОНА НЕДВИЖИМИ ИМОТИ,//acrona.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.973010
215 842 €422 150.26 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","151 кв.м, 2-ри ет. от 6, Ще бъде въведен в експлоатация 2026 г., Имаме удоволствието да ви представим четиристаен апартамент в новострояща се жилищна сграда в гр. Пл ..., тел.: 0892083015",//www.imot.bg/obiava-1d172725306268409-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 2 снимки,0892083015,ФОКУС РИЪЛ ЕСТЕЙТС,//focusltd2020.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.973825
217 384 €425 166.15 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","151 кв.м, 2-ри ет. от 5, 2026 г., БИЛДИНГ БОКС предлага за продажба четиристаен апартамент в гр. Пловдив.  Предимства на имота: - ЛОКА ..., тел.: 0877190777",//www.imot.bg/obiava-1d175705320680100-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 12 снимки,0877190777,БИЛДИНГ БОКС,//buildingbox.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.974629
