id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,neighborhoods,main_property_type
34508,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1713m2-gabrovo-s.selishte/la34508,,"с.Селище, Габрово","Земеделска земя, 1713m²","Категория 4, Овощна градина",1,"['https://homes.bg/2025-01-07_2/112618447', 'https://homes.bg/2025-01-07_2/112618448', 'https://homes.bg/2025-01-07_2/112618449', 'https://homes.bg/2025-01-07_2/112618450', 'https://homes.bg/2025-01-07_2/112618451', 'https://homes.bg/2025-01-07_2/112618452', 'https://homes.bg/2025-01-07_2/112618453', 'https://homes.bg/2025-01-07_2/112618454', 'https://homes.bg/2025-01-07_2/112618455', 'https://homes.bg/2025-01-07_2/112618456']",20000.0,ЛЕВА,11 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633147,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34477,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-100m2-gabrovo-gr.sevlievo/la34477,,"гр.Севлиево, Габрово","Земеделска земя, 100m²","Категория 5, Нива",1,['https://homes.bg/2025-01-07_2/112618446'],1000.0,ЛЕВА,10 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633158,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34372,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-22000m2-sliven-s.kovachite/la34372,,"с.Ковачите, Сливен","Земеделска земя, 22000m²",Нива,1,"['https://homes.bg/2025-01-07_2/112609489', 'https://homes.bg/2025-01-07_2/112609490', 'https://homes.bg/2025-01-07_2/112609491', 'https://homes.bg/2025-01-07_2/112609492', 'https://homes.bg/2025-01-07_2/112609493', 'https://homes.bg/2025-01-07_2/112609494', 'https://homes.bg/2025-01-07_2/112609495', 'https://homes.bg/2025-01-07_2/112609496']",80000.0,ЛЕВА,3 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633170,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34547,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,,"с.Бяла, Сливен","Земеделска земя, 959m²","Категория 9, Нива",1,[],5000.0,ЛЕВА,5 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633180,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34641,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-8605m2-sofijska-gr.bozhurishte/la34641,,"гр.Божурище, Софийска","Земеделска земя, 8605m²","Категория 4, Нива",1,"['https://homes.bg/2025-01-08_1/112620170', 'https://homes.bg/2025-01-08_1/112620171', 'https://homes.bg/2025-01-08_1/112620172', 'https://homes.bg/2025-01-08_1/112620173']",300000.0,EUR,34 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633192,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
24781,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3500m2-veliko-tyrnovo-s.prisovo/la24781,,"с.Присово, Велико Търново","Земеделска земя, 3500m²","Категория 4, Ливада",1,"['https://homes.bg/2024-07-11_1/110377239', 'https://homes.bg/2024-07-11_1/110377238', 'https://homes.bg/2024-07-11_1/110377240', 'https://homes.bg/2023-05-12_2/99026900', 'https://homes.bg/2023-05-12_2/99026901', 'https://homes.bg/2023-05-12_2/99026902', 'https://homes.bg/2023-05-12_2/99026903', 'https://homes.bg/2023-05-12_2/99026904', 'https://homes.bg/2023-05-12_2/99026906']",65900.0,EUR,18 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633207,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
19918,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-7684m2-vraca-s.chelopek/la19918,,"с.Челопек, Враца","Земеделска земя, 7684m²","Категория 8, Пасище",1,"['https://homes.bg/2025-01-07_1/112604190', 'https://homes.bg/2025-01-07_1/112604191']",12000.0,ЛЕВА,1 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633219,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34733,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-10000m2-dobrich-s.obrochishte/la34733,,"с.Оброчище, Добрич","Земеделска земя, 10000m²",Друго,1,['https://homes.bg/2025-01-07_1/112603899'],220000.0,EUR,22 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633230,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34732,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4316m2-pazardzhik-gr.batak/la34732,,"гр.Батак, Пазарджик","Земеделска земя, 4316m²",Друго,1,"['https://homes.bg/2025-01-07_1/112603897', 'https://homes.bg/2025-01-07_1/112603898']",86500.0,EUR,20 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633240,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34731,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2902m2-plovdiv-s.krumovo/la34731,,"с.Крумово, Пловдив","Земеделска земя, 2902m²",Друго,1,['https://homes.bg/2025-01-07_1/112603896'],52000.0,EUR,17 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633251,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
