id,type,url,title,location,description,price_value,price_currency,main_photo,photos,is_favorite,date_added,floor,price_per_square_meter,offer_type,property_type,agency,price,currency,city,neighborhood,contact_info,agency_url,details_url,num_photos,site,price_per_m2,ref_no,area
1539465,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-178m2-sofiya-oborishte/as1539465,"Четиристаен, 178m²"," Оборище, София",Тухла,450804.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484177'), HttpUrl('https://homes.bg/2024-12-18_2/112484179'), HttpUrl('https://homes.bg/2024-12-18_2/112484181'), HttpUrl('https://homes.bg/2024-12-18_2/112484182'), HttpUrl('https://homes.bg/2024-12-18_2/112484184')]",False,2025-01-09T06:02:31.396658,,"2,532 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,450804,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-178m2-sofiya-oborishte/as1539465,5,Site.HOMESBG,"2,532 EUR/m²",1539465,
1539469,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1539469,"Тристаен, 141m²"," Оборище, София",Тухла,394275.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484206'), HttpUrl('https://homes.bg/2024-12-18_2/112484208'), HttpUrl('https://homes.bg/2024-12-18_2/112484210'), HttpUrl('https://homes.bg/2024-12-18_2/112484212'), HttpUrl('https://homes.bg/2024-12-18_2/112484214')]",False,2025-01-09T06:02:31.396658,,"2,796 EUR/m²",продажба,PropertyType.TRISTAEN,,394275,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1539469,5,Site.HOMESBG,"2,796 EUR/m²",1539469,
1539471,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-180m2-sofiya-oborishte/as1539471,"Четиристаен, 180m²"," Оборище, София",Тухла,481819.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484224'), HttpUrl('https://homes.bg/2024-12-18_2/112484225'), HttpUrl('https://homes.bg/2024-12-18_2/112484226'), HttpUrl('https://homes.bg/2024-12-18_2/112484227'), HttpUrl('https://homes.bg/2024-12-18_2/112484228')]",False,2025-01-09T06:02:31.396658,,"2,676 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,481819,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-180m2-sofiya-oborishte/as1539471,5,Site.HOMESBG,"2,676 EUR/m²",1539471,
1539182,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-125m2-sofiya-oborishte/as1539182,"Тристаен, 125m²"," Оборище, София",Тухла,344355.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484050'), HttpUrl('https://homes.bg/2024-12-18_2/112484052'), HttpUrl('https://homes.bg/2024-12-18_2/112484054'), HttpUrl('https://homes.bg/2024-12-18_2/112484056'), HttpUrl('https://homes.bg/2024-12-18_2/112484058')]",False,2025-01-09T06:02:31.396658,,"2,754 EUR/m²",продажба,PropertyType.TRISTAEN,,344355,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-125m2-sofiya-oborishte/as1539182,5,Site.HOMESBG,"2,754 EUR/m²",1539182,
1539187,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1539187,"Тристаен, 141m²"," Оборище, София",Тухла,400971.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484080'), HttpUrl('https://homes.bg/2024-12-18_2/112484082'), HttpUrl('https://homes.bg/2024-12-18_2/112484084'), HttpUrl('https://homes.bg/2024-12-18_2/112484086')]",False,2025-01-09T06:02:31.396658,,"2,843 EUR/m²",продажба,PropertyType.TRISTAEN,,400971,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1539187,4,Site.HOMESBG,"2,843 EUR/m²",1539187,
1557107,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-143m2-sofiya-oborishte/as1557107,"Четиристаен, 143m²"," Оборище, София","Тухла, Необзаведен, Електричество",452195.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484267'), HttpUrl('https://homes.bg/2024-12-18_2/112484268'), HttpUrl('https://homes.bg/2024-12-18_2/112484269'), HttpUrl('https://homes.bg/2024-12-18_2/112484270')]",False,2025-01-09T06:02:31.396658,,"3,162 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,452195,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-143m2-sofiya-oborishte/as1557107,4,Site.HOMESBG,"3,162 EUR/m²",1557107,
1557108,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-178m2-sofiya-oborishte/as1557108,"Четиристаен, 178m²"," Оборище, София","Тухла, Необзаведен, Електричество",546741.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484271'), HttpUrl('https://homes.bg/2024-12-18_2/112484272'), HttpUrl('https://homes.bg/2024-12-18_2/112484273'), HttpUrl('https://homes.bg/2024-12-18_2/112484274')]",False,2025-01-09T06:02:31.396658,,"3,071 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,546741,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-178m2-sofiya-oborishte/as1557108,4,Site.HOMESBG,"3,071 EUR/m²",1557108,
1557106,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1557106,"Тристаен, 141m²"," Оборище, София","Необзаведен, Електричество",435118.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112484263'), HttpUrl('https://homes.bg/2024-12-18_2/112484264'), HttpUrl('https://homes.bg/2024-12-18_2/112484265'), HttpUrl('https://homes.bg/2024-12-18_2/112484266')]",False,2025-01-09T06:02:31.396658,,"3,085 EUR/m²",продажба,PropertyType.TRISTAEN,,435118,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-141m2-sofiya-oborishte/as1557106,4,Site.HOMESBG,"3,085 EUR/m²",1557106,
1538906,as,https://homes.bg/offer/apartament-za-prodazhba/mezonet-326m2-sofiya-oborishte/as1538906,"Мезонет, 326m²"," Оборище, София","Тухла, Необзаведен, Електричество",1400952.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112483991'), HttpUrl('https://homes.bg/2024-12-18_2/112483994'), HttpUrl('https://homes.bg/2024-12-18_2/112483996'), HttpUrl('https://homes.bg/2024-12-18_2/112483998'), HttpUrl('https://homes.bg/2024-12-18_2/112483999'), HttpUrl('https://homes.bg/2024-12-18_2/112484002')]",False,2025-01-09T06:02:31.396658,,"4,297 EUR/m²",продажба,PropertyType.MESONET,,1400952,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/mezonet-326m2-sofiya-oborishte/as1538906,6,Site.HOMESBG,"4,297 EUR/m²",1538906,
1538901,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-157m2-sofiya-oborishte/as1538901,"Четиристаен, 157m²"," Оборище, София","Тухла, Необзаведен, Електричество",437802.0,EUR,,"[HttpUrl('https://homes.bg/2024-12-18_2/112483960'), HttpUrl('https://homes.bg/2024-12-18_2/112483962'), HttpUrl('https://homes.bg/2024-12-18_2/112483964'), HttpUrl('https://homes.bg/2024-12-18_2/112483966'), HttpUrl('https://homes.bg/2024-12-18_2/112483969')]",False,2025-01-09T06:02:31.396658,,"2,788 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,437802,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-157m2-sofiya-oborishte/as1538901,5,Site.HOMESBG,"2,788 EUR/m²",1538901,
