id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,num_photos,neighborhoods,main_property_type
1656788,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-80m2-sofiya-zhk.-hipodruma/as1656788,,"жк. Хиподрума, София","Тристаен, 80m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-27_2/116199409', 'https://homes.bg/2025-10-27_2/116199410']",280000.0,EUR,"3,500 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.866098,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,2.0,['Хиподрума'],апартамент
1655773,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-168m2-sofiya-zhk.-hipodruma/as1655773,,"жк. Хиподрума, София","Четиристаен, 168m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-22_2/116166687', 'https://homes.bg/2025-10-22_2/116166688', 'https://homes.bg/2025-10-22_2/116166689', 'https://homes.bg/2025-10-22_2/116166690', 'https://homes.bg/2025-10-22_2/116166691', 'https://homes.bg/2025-10-22_2/116166692', 'https://homes.bg/2025-10-22_2/116166693', 'https://homes.bg/2025-10-22_2/116166694', 'https://homes.bg/2025-10-22_2/116166695', 'https://homes.bg/2025-10-22_2/116166696']",454000.0,EUR,"2,702 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-11-04 06:03:03.866118,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1640720,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-107m2-sofiya-zhk.-hipodruma/as1640720,,"жк. Хиподрума, София","Тристаен, 107m²","Тухла, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-21_2/116144950', 'https://homes.bg/2025-10-21_2/116144951', 'https://homes.bg/2025-10-21_2/116144952', 'https://homes.bg/2025-10-21_2/116144953', 'https://homes.bg/2025-10-21_2/116144954', 'https://homes.bg/2025-10-21_2/116144955']",267500.0,EUR,"2,500 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.866133,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,6.0,['Хиподрума'],апартамент
1655690,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-168m2-sofiya-zhk.-hipodruma/as1655690,,"жк. Хиподрума, София","Четиристаен, 168m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-21_1/116141235', 'https://homes.bg/2025-10-21_1/116141236', 'https://homes.bg/2025-10-21_1/116141237', 'https://homes.bg/2025-10-21_1/116141238', 'https://homes.bg/2025-10-21_1/116141239', 'https://homes.bg/2025-10-21_1/116141240', 'https://homes.bg/2025-10-21_1/116141241', 'https://homes.bg/2025-10-21_1/116141242', 'https://homes.bg/2025-10-21_1/116141243', 'https://homes.bg/2025-10-21_1/116141244']",454000.0,EUR,"2,702 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-11-04 06:03:03.866151,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1654193,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-87m2-sofiya-zhk.-hipodruma/as1654193,,"жк. Хиподрума, София","Тристаен, 87m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-15_2/116062639', 'https://homes.bg/2025-10-15_2/116062640', 'https://homes.bg/2025-10-15_2/116062641', 'https://homes.bg/2025-10-15_2/116062642', 'https://homes.bg/2025-10-15_2/116062644', 'https://homes.bg/2025-10-15_2/116062645', 'https://homes.bg/2025-10-15_2/116062646', 'https://homes.bg/2025-10-15_2/116062647', 'https://homes.bg/2025-10-15_2/116062648', 'https://homes.bg/2025-10-15_2/116062649']",247000.0,EUR,"2,839 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.866170,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1654715,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-42m2-sofiya-zhk.-hipodruma/as1654715,,"жк. Хиподрума, София","Двустаен, 42m²","Тухла, Обзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-15_2/116056936', 'https://homes.bg/2025-10-15_2/116056938', 'https://homes.bg/2025-10-15_2/116056937', 'https://homes.bg/2025-10-15_2/116056935', 'https://homes.bg/2025-10-15_2/116056940', 'https://homes.bg/2025-10-15_2/116056939', 'https://homes.bg/2025-10-15_2/116056942', 'https://homes.bg/2025-10-15_2/116056941', 'https://homes.bg/2025-10-15_2/116056943', 'https://homes.bg/2025-10-15_2/116056934']",210000.0,EUR,"5,000 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.866189,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1653852,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1653852,,"жк. Хиподрума, София","Двустаен, 60m²","Тухла, Обзаведен, Електричество",1,"['https://homes.bg/2025-10-14_2/116038750', 'https://homes.bg/2025-10-14_2/116038751', 'https://homes.bg/2025-10-14_2/116038752', 'https://homes.bg/2025-10-14_2/116038753', 'https://homes.bg/2025-10-14_2/116038754', 'https://homes.bg/2025-10-14_2/116038755', 'https://homes.bg/2025-10-14_2/116038756', 'https://homes.bg/2025-10-14_2/116038757', 'https://homes.bg/2025-10-14_2/116038758', 'https://homes.bg/2025-10-14_2/116038759']",239900.0,EUR,"3,998 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.866206,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1615434,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-245m2-sofiya-zhk.-hipodruma/as1615434,,"жк. Хиподрума, София","Многостаен, 245m²","Тухла, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-07_2/115942325', 'https://homes.bg/2025-10-07_2/115942326', 'https://homes.bg/2025-10-07_2/115942327', 'https://homes.bg/2025-10-07_2/115942328', 'https://homes.bg/2025-10-07_2/115942329', 'https://homes.bg/2025-10-07_2/115942330', 'https://homes.bg/2025-10-07_2/115942331', 'https://homes.bg/2025-10-07_2/115942332', 'https://homes.bg/2025-10-07_2/115942333', 'https://homes.bg/2025-10-07_2/115942334']",599900.0,EUR,"2,448 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-11-04 06:03:03.866222,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1648667,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-237m2-sofiya-zhk.-hipodruma/as1648667,,"жк. Хиподрума, София","Многостаен, 237m²","Тухла, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-01_2/115871918', 'https://homes.bg/2025-10-01_2/115871919', 'https://homes.bg/2025-10-01_2/115871920', 'https://homes.bg/2025-10-01_2/115871921', 'https://homes.bg/2025-10-01_2/115871922', 'https://homes.bg/2025-10-01_2/115871923', 'https://homes.bg/2025-10-01_2/115871924', 'https://homes.bg/2025-10-01_2/115871925', 'https://homes.bg/2025-10-01_2/115871926', 'https://homes.bg/2025-10-01_2/115871927']",675000.0,EUR,"2,848 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-11-04 06:03:03.869638,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1633058,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-112m2-sofiya-zhk.-hipodruma/as1633058,,"жк. Хиподрума, София","Тристаен, 112m²","Тухла, Полуобзаведен, ТЕЦ",1,"['https://homes.bg/2025-09-24_2/115780059', 'https://homes.bg/2025-09-24_2/115780060', 'https://homes.bg/2025-09-24_2/115780061', 'https://homes.bg/2025-09-24_2/115780062', 'https://homes.bg/2025-09-24_2/115780063', 'https://homes.bg/2025-09-24_2/115780064', 'https://homes.bg/2025-09-24_2/115780065', 'https://homes.bg/2025-09-24_2/115780066', 'https://homes.bg/2025-09-24_2/115780067', 'https://homes.bg/2025-09-24_2/115780068']",335990.0,EUR,"2,999 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.869690,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
