title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,ref_no,num_photos,price_per_m2,total_offers,search_url,scraped_at
Многостаен мезонет,/mnogostaen-mezonet-6431711,"Изток, София",Цена:457 520 €(894 831.34 лв.),Мезонет,266 кв.м,Тухла,1999 г.,,"... ЩЕ... Ви предложим УНИКАЛЕН като МЕСТОПОЛОЖЕНИЕ, внушителен като полезна използваема площ и състояние на ИНТЕРИОРА и цялостната МЕБЕЛИРОВКА и ОБОРУДВАНЕ, многостаен (хол с няколко функционални зон..",АРСЕНАЛ недвижими имоти,,0,1720.0,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.176167
"Просторен, тристаен апартамент в един от най-търсените квартали на столицата",/prostoren-tristaen-apartament-v-edin-ot-nai-tarsenite-kvartali-na-stolicata-10234567,"Изток, София",Цена:660 800 €(1 292 412.46 лв.),Тристаен апартамент в Изток,132.16 кв.м,Тухла,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: Kbs 130334 

Просторен тристаен апартамент в престижн..",SUPRIMMO,,0,5000.0,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.180208
"Четиристаен апартамент за продажба, Медицинска академия",/chetiristaen-apartament-za-prodajba-medicinska-akademiya-10152936,"Медицинска академия, София",Цена:375 000 €(733 436.25 лв.),Многостаен апартамент в Медицинска академия,130 кв.м,Тухла,2005 г.,4 етаж,"... ЛУКСОЗНО... 
Мебелирано жилище в ТОП ЦЕНТЪРА на София в непосредствена БЛИЗОСТ до сградата на Софийският Районен Съд, бул. „Ген. Скобелев“ и бул. „Патриарх Евтимий“. 
Апартаментът има чиста заст..",АРСЕНАЛ недвижими имоти,,0,2884.62,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.184545
Комфортен тристаен апартамент ”до ключ” в нова сграда с Акт 16 от 2025 г.,/komforten-tristaen-apartament-do-klyuch-v-nova-sgrada-s-akt-16-ot-2025-g-10215851,"Редута, София",Цена:278 500 €(544 698.66 лв.),Тристаен апартамент в Редута,99.37 кв.м,Тухла,,3 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-130099 

Представяме комфортен тристаен апартамен..",SUPRIMMO,,0,2802.66,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.188625
Двустаен апартамент 60 кв.м Тухла 1985 г. 6 етаж Непоследен,/dvustaen-apartament-60-kv-m-tuhla-1985-g-6-etaj-neposleden-10214328,"Медицинска академия, София",Цена:239 000 €(467 443.37 лв.),Двустаен апартамент в Медицинска академия,60 кв.м,Тухла,1985 г.,6 етаж,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Хиподрума, находящ се на улица Софийски герой срещу х-л Форум. Жилището се състои от: входно антре, светла дневна с кухненски бокс и трапе..",ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ,,0,3983.33,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.192980
"3-стаен, София, Оборище, 81 кв.м., 330000 €",/3-staen-sofiya-oborishte-81-kv-m-330000-8279391,"Оборище, София",Цена:330 000 €(645 423.90 лв.),Тристаен апартамент в Оборище,81 кв.м,Тухла,,2 етаж,"Тристаен апартамент, състоящ се от коридор, дневна 40 кв.м., спалня, отделна кухня с усвоен балкон, баня с WC и килер. 

Намира се до Военна академия и Испанската гимназия. 

Тухлена сграда от 60 ..",Адрес недвижими имоти,,0,4074.07,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.197152
Светъл и уютен двустаен апартамент за продажба в кв. Редута,/svetal-i-uyuten-dvustaen-apartament-za-prodajba-v-kv-reduta-10166558,"Редута, София",Цена:299 900 €(586 553.42 лв.),Двустаен апартамент в Редута,87 кв.м,Тухла,,2 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: Kbs 129340 

Представяме Ви изключителен, просторен д..",SUPRIMMO,,0,3447.13,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.201248
Изцяло Южен! Топ Локация до Метро и Парк Заимов | Просторен Двустаен | Напълно Среден и Покрит,/izcyalo-yujen-top-lokaciya-do-metro-i-park-zaimov-prostoren-dvustaen-napalno-sreden-i-pokrit-10164657,"Оборище, София",Цена:214 990 €(420 483.90 лв.),Двустаен апартамент в Оборище,83 кв.м,Тухла,2025 г.,2 етаж,"Изцяло Южен! Топ Локация до Метро и Парк Заимов | Просторен Двустаен | Напълно Среден и Покрит 
Реф. № 80369 в www.novdom1.bg
Консултант: Калоян Николов, 📞 *виж контакти*

Вашият нов дом в сърцето на ..",Нов Дом 1,,0,2590.24,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.205763
Двустаен апартамент 49 кв.м Панел 1987 г. 1 етаж Първи жилищен,/dvustaen-apartament-49-kv-m-panel-1987-g-1-etaj-parvi-jilishten-10157408,"Дървеница, София",Цена:145 000 €(283 595.35 лв.),Двустаен апартамент в Дървеница,49 кв.м,Панел,1987 г.,1 етаж,"🏢 **Прекрасен Двустаен апартамент за продажба в София, Дървеница**

За повече информация и огледи, цитирайте следният код: 23950

Ако търсите уютен и функционален дом в сърцето на столицата, този имот..",МАТЕНА ЕООД,,0,2959.18,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.210107
Просторен тристаен апартамент в Оборище с АКТ 14!!!,/prostoren-tristaen-apartament-v-oborishte-s-akt-14-10145805,"Оборище, София",Цена:487 500 €(953 467.13 лв.),Тристаен апартамент в Оборище,147 кв.м,Тухла,2025 г.,9 етаж,"ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев тристаен апартамент в новоизграждащ се затворен жилищен комплекс, с изключително висококачествено строителство от доказан инвеститор на комуникативно място, в ква..",ИРИДА НЕДВИЖИМИ ИМОТИ,,0,3316.33,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.214530
