title,price_and_currency,location,details_url,property_type,area,agency,floor,price_per_m2,description,is_top_ad,num_photos,date_added,search_url,total_offers
"продава Многостаен апартамент, 208 м2",715 276EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/mnogostaen/5924903/?sid=iKI3oo&page=13,продава Многостаен апартамент, 208 м2,АДРЕС Недвижими имоти АД,Етаж: 5 от 7,Цена на /м2/:3 439EUR,"Просторен многостаен апартамент със застроена площ от 140 кв.м. Състои се от: дневна с кухненски бокс от 38.80 кв.м., три спални по 18.38 кв.м., 12.23 кв.м. и 9.44 кв.м., като всяка има собствен...",False,4,2025-01-11 16:56:36.154901,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 208 м2",715 276EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/chetiristaen/6001839/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 208 м2,ЕКС НВД,Етаж: 4 от 6,Цена на /м2/:3 439EUR,"Компания `ЕКС` представя на Вашето внимание четиристаен апартамент в един от най-желаните райони на гр. София- кв. Лозенец.МЕСТОПОЛОЖЕНИЕ: В близост до спирки на градски транспорт,...",False,1,2025-01-11 16:56:36.155349,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Мезонет, 270 м2",720 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/mezonet/5996546/?sid=iKI3oo&page=13,продава Мезонет, 270 м2,Бг Брокер,Етаж: 7 от 8,Цена на /м2/:2 667EUR,"Продаваме голям мезонет (статут на Ателие), който е преустроен в 5 маломерни двустайни апартамента, намиращ се в кв. Лозенец, на ул. Богатица, близо до ресторант Хепи и Южен парк. Намира на...",False,17,2025-01-11 16:56:36.155786,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 201 м2",723 888EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/chetiristaen/6012388/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 201 м2,Galardo Real Estate,Етаж: 7 от 8,Цена на /м2/:3 601EUR,"Galardo Real Estate ви представя апартамент, разположен в нова сграда, със стилна фасада, в близост до от хотел Маринела.Апартаментът е разположен на седми етаж с прекрасна тераса и изглед...",False,12,2025-01-11 16:56:36.156280,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 196 м2",730 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/tristaen/5890473/?sid=iKI3oo&page=13,продава Тристаен апартамент, 196 м2,Luximmo Finest Estates,Етаж:  от 6,Цена на /м2/:3 724EUR,"Представяме изключително просторен, комфортно обзаведен тристаен апартамент за продажба в кв. ""Лозенец"" в столицата.Имотът е с директна гледка към Южен парк, намира се на удобна и...",False,19,2025-01-11 16:56:36.156777,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Многостаен апартамент, 286 м2",733 700EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/mnogostaen/5856869/?sid=iKI3oo&page=13,продава Многостаен апартамент, 286 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 6 от 11,Цена на /м2/:2 565EUR,"БЕЗ КОМИСИОН !АКТ 16 декември 2023 !ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен многостаен апартамент в нова 44-метрова модерна жилищна сграда, която включва...",False,12,2025-01-11 16:56:36.157339,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 160 м2",750 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5988139/?sid=iKI3oo&page=13,продава Тристаен апартамент, 160 м2,ЮНИК ЕСТЕЙТС,Етаж: 2 от 8,Цена на /м2/:4 688EUR,"Unique Estates представя за продажба есклузвен тристаен апартамент, намиращ се е в един от най-престижните престижен затворен комплекс в квартал Лозенец....",False,1,2025-01-11 16:56:36.157848,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 144 м2",750 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5996893/?sid=iKI3oo&page=13,продава Тристаен апартамент, 144 м2,ЮНИК ЕСТЕЙТС,Етаж: 4 от 4,Цена на /м2/:5 208EUR,"Unique Estates представя на Вашето внимание изключителен апартамент в един от най-предпочитаните райони в София - Лозенец.Стилен и изискан, апартамент с уникално...",False,12,2025-01-11 16:56:36.158354,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 151 м2",750 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/chetiristaen/6008978/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 151 м2,ЮНИК ЕСТЕЙТС,Етаж: 5 от 6,Цена на /м2/:4 967EUR,Unique Estates има удоволствието да представи на Вашето внимание изключително луксозен четиристаен апартамент в емблематична жилищна сграда в сърцето на...,False,8,2025-01-11 16:56:36.158848,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 222 м2",762 137EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5924899/?sid=iKI3oo&page=13,продава Тристаен апартамент, 222 м2,АДРЕС Недвижими имоти АД,Етаж: 3 от 7,Цена на /м2/:3 433EUR,"Просторен тристаен апартамент със застроена площ от 148.65 кв.м. Състои се от: дневна с кухненски бокс от 43.55 кв.м., две спални по 22.50 кв.м. и 19.44 кв.м., три санитарни помещения, дрешник,...",False,4,2025-01-11 16:56:36.159282,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 222 м2",762 137EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5924905/?sid=iKI3oo&page=13,продава Тристаен апартамент, 222 м2,АДРЕС Недвижими имоти АД,Етаж: 2 от 7,Цена на /м2/:3 433EUR,"Просторен тристаен тухлен апартамент със застроена площ от 148.65 кв.м. Състои се от: дневна с кухненски бокс от 43.55 кв.м., две спални по 22.50 кв.м. и 19.44 кв.м., три санитарни помещения,...",False,4,2025-01-11 16:56:36.159715,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 221 м2",762 137EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5959567/?sid=iKI3oo&page=13,продава Тристаен апартамент, 221 м2,АДРЕС Недвижими имоти АД,Етаж: 4 от 7,Цена на /м2/:3 449EUR,"Просторен тристаен тухлен апартамент със застроена площ от 148.65 кв.м. Състои се от: дневна с кухненски бокс от 43.55 кв.м., две спални по 22.50 кв.м. и 19.44 кв.м., три санитарни помещения,...",False,4,2025-01-11 16:56:36.160148,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 222 м2",762 137EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/6001862/?sid=iKI3oo&page=14,продава Тристаен апартамент, 222 м2,ЕКС НВД,Етаж: 1 от 6,Цена на /м2/:3 433EUR,"Компания `ЕКС` представя на Вашето внимание тристаен апартамент в един от най-желаните райони на гр. София- кв. Лозенец.МЕСТОПОЛОЖЕНИЕ: В близост до спирки на градски транспорт,...",False,1,2025-01-11 16:56:39.925677,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 172 м2",770 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5983213/?sid=iKI3oo&page=14,продава Тристаен апартамент, 172 м2,ЮНИК ЕСТЕЙТС,Етаж: 8 от 10,Цена на /м2/:4 477EUR,Unque Estates има удоволствието да Ви представи прекрасен апартамент за продажба в най - предпочитаната част на кв. Лозенец!Жилището е разположено на осми етаж и...,False,6,2025-01-11 16:56:39.926226,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 176 м2",777 216EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/chetiristaen/5685339/?sid=iKI3oo&page=14,продава Четиристаен апартамент, 176 м2,Luximmo Finest Estates,Етаж:  от 7,Цена на /м2/:4 416EUR,"Представяме на Вашето внимание стилен, впечатляващ и изящен апартамент за продажба в кв.Лозенец.Сградата е разположена в най-високата и зелена част на столицата, срещу Борисовата...",False,39,2025-01-11 16:56:39.926733,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
