title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Земеделска земя, 5670m²",Нива,Пловдив,с.Скутаре,"18,500",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-5670m2-plovdiv-s.skutare/la35716,1,,,35716,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522009
"Земеделска земя, 4126m²","Категория 6, Нива",Симитли,гр.Симитли,"25,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-4126m2-simitli-gr.simitli/la25158,5,,,25158,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522011
"Земеделска земя, 634m²","Категория 8, Пасище",Благоевград,с.Логодаж,"5,706",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-634m2-blagoevgrad-s.logodazh/la35715,3,,,35715,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522014
"Земеделска земя, 1496m²","Категория 6, Нива",Благоевград,с.Селище,"11,968",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1496m2-blagoevgrad-s.selishte/la35713,3,,,35713,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522016
"Земеделска земя, 22748m²",,Варна,с.Ботево,"36,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-22748m2-varna-s.botevo/la35705,1,,,35705,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522019
"Земеделска земя, 599m²","Категория 4, Овощна градина",Благоевград,с.Логодаж,"5,391",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-599m2-blagoevgrad-s.logodazh/la35707,4,,,35707,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522021
"Земеделска земя, 11820m²","Категория 5, Нива",Пловдив,с.Скутаре,"129,900",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-11820m2-plovdiv-s.skutare/la35671,1,,,35671,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522024
"Земеделска земя, 8800m²","Категория 5, Нива",Пловдив,с.Скутаре,"116,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-8800m2-plovdiv-s.skutare/la35706,1,,,35706,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522026
"Земеделска земя, 5870m²","Категория 5, Нива",Разлог,гр.Разлог,0,EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-5870m2-razlog-gr.razlog/la20361,1,,,20361,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522029
"Земеделска земя, 1886m²","Категория 6, Ливада",Разлог,гр.Разлог,0,EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1886m2-razlog-gr.razlog/la20365,1,,,20365,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522031
