price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
169 000 €330 535.27 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Нива, кат. 3, 4.5 дка, Нови Искър, Чудесен парцел(земедлски имот)само на 200 метра от околовръстното шосе,с лице 70  метра на главен пъ ..., тел.: 0887845777",//www.imot.bg/obiava-1s163275303174520-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya-novi-iskar,Повече детайлии 9 снимки,0887845777,,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.444074
180 000 €352 049.40 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Нива, кат. 3, 4 дка, ПЗ Илиянци, Ние Ви предлагаме поземлен имот с площ 4004 кв.м., категория 3-та в гр. София, район Надежда, м. ПЛА ..., тел.: 0876491121",//www.imot.bg/obiava-1s170263480436018-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya-pz-iliyantsi,Повече детайли,0876491121,ЕМИЛИ РИЪЛ ЕСТЕЙТС,//emilirealestate8.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.444917
184 000 €359 872.72 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 36 дка, Горна баня, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, м. К ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173371696018500-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya-gorna-banya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.445769
240 000 €469 399.20 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 2, 18 дка, Витоша, Предлагаме за продажба 18 декара широколистна гора в град София, район Витоша. За огледи и информаци ..., тел.: 0888716154",//www.imot.bg/obiava-1s175403565974634-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya-vitosha,Повече детайли,0888716154,НИК ПРО ЕООД,//nik.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.446625
265 000 €518 294.95 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 74 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша. Близ ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372239445824-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.447486
293 500 €574 036.11 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 57 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, м. К ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173371794978254-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.448334
38 500 €75 299.46 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Балша, област София","Нива, кат. 3, 11 дка, НАМАЛЕНА ЦЕНА!!! Земеделска земя за продажба с площ 11 648 кв.м., находяща се в с. Балша. Имотът е с ..., тел.: 0898888459",//www.imot.bg/obiava-1s175947692685511-prodava-zemedelska-zemya-oblast-sofiya-s-balsha,Повече детайли,0898888459,ГАРАНТ ДОМ,//ggrarantdom.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.449179
90 000 €176 024.70 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Бистрица, област София","Ливада, кат. 3, 1 дка, Поземлен имот със статут на земеделска земя - ливада в землището на село Бистрица, местност - махала ..., тел.: 024683103",//www.imot.bg/obiava-1s159065528979318-prodava-zemedelska-zemya-oblast-sofiya-s-bistritsa,Повече детайли,024683103,ЕКОЛИТ ИМОТИ,//ekolit.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.450040
80 000 €156 466.40 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Волуяк, област София","Нива, кат. 1, 3 дка, Агенцията продава земеделска земя находяща се в района на с.Волуяк.3000м2  Изключителни права! , тел.: 00359888392197",//www.imot.bg/obiava-1s158091749196822-prodava-zemedelska-zemya-oblast-sofiya-s-voluyak,Повече детайли,00359888392197,КС СТАНДАРТ,//ksstandart.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.450892
30 000 €58 674.90 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Гайтанево, област София","Нива, кат. 3, с Аренден договор до 20.12.2026 г. и рента 46 €/год., 1 дка, Нивата е с площ от 1299 кв.м. и има възможност да бъде вкарана в регулация. Намира се близо до първи ..., тел.: 0878740921",//www.imot.bg/obiava-1s176830436085288-prodava-zemedelska-zemya-oblast-sofiya-s-gaytanevo,Повече детайли,0878740921,ИНОА БИЛДИНГ ООД,//inoabuilding.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.451735
