price_text,title,location,location_info,description,details_url,contact_info,ref_no,total_offers,time,num_photos,agency_name,agency_url,price_per_m2,search_url,scraped_at
"1 155 440 €2 259 844,22 лв.",Продава  Земеделска земя,"с. Варвара, област Бургас","с. Варвара, област Бургас
18 дка","Нива, кат. 4, , Предлагаме Ви имот на втора линия море в землището на село Варвара, общ. Царево. Имотът се намиира в ...",https://www.imoti.com/obiava/93437473/prodava-zemedelska-zemya-oblast-burgas-s-varvara,0888310436,93437473,380,14:33 27.06.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.285849
"1 263 405 €2 471 005,40 лв.",Продава  Земеделска земя,"с. Варвара, област Бургас","с. Варвара, област Бургас
19 дка","Нива, кат. 4, , Предлагаме Ви имот на първа линия море в землището на село Варвара, общ. Царево. Имотът е с излаз на ...",https://www.imoti.com/obiava/85992915/prodava-zemedelska-zemya-oblast-burgas-s-varvara,0888310436,85992915,380,14:33 27.06.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.286351
"25 000 €48 895,75 лв.Не се начислява ДДС",Продава  Земеделска земя,"с. Велика, област Бургас","с. Велика, област Бургас
5 дка","Нива, кат. 4, , 'Имоти Янев' Ви предлага земеделска земя със статут на 'Нива' в местността 'Юрук Каба', която се нам ...",https://www.imoti.com/obiava/79635460/prodava-zemedelska-zemya-oblast-burgas-s-velika,0888310436,79635460,380,14:30 27.06.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.286863
25 000 000 €48 895 750 лв.,Продава  Земеделска земя,"с. Велика, област Бургас","с. Велика, област Бургас
5000 дка","Нива, кат. 4, , Предлагаме Ви земеделска земя със статут на  Нива  в местноста  Юрук каба , която се намира между с. ...",https://www.imoti.com/obiava/49724472/prodava-zemedelska-zemya-oblast-burgas-s-velika,0888310436,49724472,380,14:33 27.06.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.287357
"19 000 €37 160,77 лв.",Продава  Земеделска земя,"с. Веселие, област Бургас","с. Веселие, област Бургас
29 дка","Нива, кат. 9, , ARRAY(0x804a48798)",https://www.imoti.com/obiava/25808386/prodava-zemedelska-zemya-oblast-burgas-s-veselie,0878267478,25808386,380,18:03 03.10.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.287831
"43 000 лв.21 985,55 €",Продава  Земеделска земя,"с. Веселие, област Бургас","с. Веселие, област Бургас
29 дка","Нива, кат. 9",https://www.imoti.com/obiava/47584153/prodava-zemedelska-zemya-oblast-burgas-s-veselie,0878267478,47584153,380,14:33 12.01.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.288317
"78 000 €152 554,74 лв.",Продава  Земеделска земя,"с. Дъбник, област Бургас","с. Дъбник, област Бургас
13000 дка","Нива, кат. 4, , Продажба на парцел, находящ се в общ.Поморие, с. Дъбник, местността  Пладнището  със следните характ ...",https://www.imoti.com/obiava/36426363/prodava-zemedelska-zemya-oblast-burgas-s-dabnik,0892429272,36426363,380,13:47 19.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.288797
"60 000 €117 349,80 лв.",Продава  Земеделска земя,"с. Кошарица, област Бургас","с. Кошарица, област Бургас
12 дка",,https://www.imoti.com/obiava/12319642/prodava-zemedelska-zemya-oblast-burgas-s-kosharitsa,0883399709,12319642,380,15:39 08.06.2021,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.289290
"81 600 лв.41 721,42 €",Продава  Земеделска земя,"с. Кубадин, област Бургас","с. Кубадин, област Бургас
40 дка","Нива, кат. 4, , Агенция Зетком Ви Предлага за  продажба 40.828 дка земя посята с лавандула в село Кубадин.
6 броя ни ...",https://www.imoti.com/obiava/88124385/prodava-zemedelska-zemya-oblast-burgas-s-kubadin,0877359549,88124385,380,20:37 20.01.2023,1,Зетком Ви,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.289767
200 000 €391 166 лв.,Продава  Земеделска земя,"с. Лозенец, област Бургас","с. Лозенец, област Бургас
20 дка","Нива, кат. 4, , Предлагаме Ви земеделска земя със статут на  Нива  в местността  Иванови колиби , която се намира на ...",https://www.imoti.com/obiava/24355701/prodava-zemedelska-zemya-oblast-burgas-s-lozenets,0888310436,24355701,380,14:32 27.06.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.290263
