price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
1 200 €2 347 лв.Не се начислява ДДС,Дава под наем  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
100 кв.м","3-ти ет., ТЕЦ, Просторен, светъл и стилно обзаведен, тристаен апартамент в аристократичната част на София.Локация - ...",https://www.imoti.com/obiava/67321879/dava-pod-naem-3-staen-grad-sofiya-doktorski-pametnik,0887613033,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.918245
"1 250 €2 444,79 лв.Цената е с включено ДДС",Дава под наем  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
92 кв.м","4-ти ет., ТЕЦ, 📌 Референтен номер: 2153237❗ Революшън Естейт представя Тристаен в София, Център- Док ...",https://www.imoti.com/obiava/70399106/dava-pod-naem-3-staen-grad-sofiya-doktorski-pametnik,0899500900,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.918622
"1 400 €2 738,16 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
120 кв.м","2-ри ет., ТЕЦ, Consulting G Real Estate отдава под наем луксозен 3-стаен апартамент в престижния район Оборище-Докт ...",https://www.imoti.com/obiava/46756332/dava-pod-naem-3-staen-grad-sofiya-doktorski-pametnik,0888825445,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.918980
"1 800 €3 520,49 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
140 кв.м","4-ти ет., ТЕЦ, В обявата имота е обзаведен чрез изкуствен интелект с илюстративна цел.ЕМБЛЕМАТИЧНА ЛОКАЦИЯ НА УЛ.   ...",https://www.imoti.com/obiava/13608133/dava-pod-naem-3-staen-grad-sofiya-doktorski-pametnik,0877 26 8787,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.919336
"1 800 €3 520,49 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Докторски паметник","град София, Докторски паметник
140 кв.м","4-ти ет., ТЕЦ, ЕМБЛЕМАТИЧНА ЛОКАЦИЯ НА УЛ.  ОБОРИЩЕ    ЛУКСОЗНО ИЗПЪЛНЕНИЕ И ROOFTOP ТЕРАСАRefer Real Estate има уд ...",https://www.imoti.com/obiava/35139881/dava-pod-naem-3-staen-grad-sofiya-doktorski-pametnik,0877 26 8787,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.919707
"850 €1 662,46 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Иван Вазов","град София, Иван Вазов
90 кв.м","2-ри ет., ТЕЦ,  ТОП ИМОТ, СВОБОДЕН ЗА НАЕМАНЕ!!! Предлагаме Ви ОБЗАВЕДЕН И ОБОРУДВАН АПАРТАМЕНТ. Жилището е непрехо ...",https://www.imoti.com/obiava/72168764/dava-pod-naem-3-staen-grad-sofiya-ivan-vazov,0885647788,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.920059
"1 000 €1 955,83 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Иван Вазов","град София, Иван Вазов
90 кв.м","8-ми ет., ТЕЦ, Дава под наем луксозен тристаен апартамент на изключителна локация в центъра, в близост до Медицинск ...",https://www.imoti.com/obiava/46976053/dava-pod-naem-3-staen-grad-sofiya-ivan-vazov,0888777888,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.920456
"1 499 €2 931,79 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Иван Вазов","град София, Иван Вазов
135 кв.м","4-ти ет., ТЕЦ, Луксозен чисто нов тристаен апартамент под наем до Южен парк, кв. Иван ВазовПредставяме Ви изключите ...",https://www.imoti.com/obiava/79700096/dava-pod-naem-3-staen-grad-sofiya-ivan-vazov,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.920822
"1 250 €2 444,79 лв.Цената е с включено ДДС",Дава под наем  3-стаен,"град София, Изгрев","град София, Изгрев
117 кв.м","2-ри ет., ТЕЦ, First Estates предлага тристаен апартамент и гараж под наем на ул. 'Латинка' в кв. Изгрев и  ...",https://www.imoti.com/obiava/85623610/dava-pod-naem-3-staen-grad-sofiya-izgrev,070015151,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.921178
"1 300 €2 542,58 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изгрев","град София, Изгрев
110 кв.м","2-ри ет., ТЕЦ, Луксозен нов апартамент в представителна нова сграда, напълно обзаведен. Състои се от : хол с трапез ...",https://www.imoti.com/obiava/30749818/dava-pod-naem-3-staen-grad-sofiya-izgrev,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.921553
"1 349 €2 638,41 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изгрев","град София, Изгрев
106 кв.м","7-ми ет., ТЕЦ, Луксозен тристаен апартамент с гледка към Витоша до басейн ДианабадПрекрасен, напълно обзаведен апар ...",https://www.imoti.com/obiava/48391551/dava-pod-naem-3-staen-grad-sofiya-izgrev,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.921910
"1 400 €2 738,16 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изгрев","град София, Изгрев
151 кв.м","2-ри ет., ТЕЦ, Обзаведен апартамент в нова сграда с видео наблюдение.Апартамента състои се от:хол с трапезария и ба ...",https://www.imoti.com/obiava/91937925/dava-pod-naem-3-staen-grad-sofiya-izgrev,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.922266
"950 €1 858,04 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изток","град София, Изток
110 кв.м","3-ти ет., ТЕЦ, Имотът се дава за първи наематели след ОСНОВЕН ремонт и НОВО обзавеждане ! ***Просторен тристаен/чет ...",https://www.imoti.com/obiava/35885088/dava-pod-naem-3-staen-grad-sofiya-iztok,0888647901,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:12.922634
"1 000 €1 955,83 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изток","град София, Изток
90 кв.м","1-ви ет., ТЕЦ, Чудесен тристаен апартамент в ж.к. Изток. Намира се в непосредствена близост до Борисова градина, де ...",https://www.imoti.com/obiava/14774039/dava-pod-naem-3-staen-grad-sofiya-iztok,0888 818 921,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.800476
"1 190 €2 327,44 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изток","град София, Изток
105 кв.м","2-ри ет., ТЕЦ, ВИП сграда, ВИП апартамент ! Имаме удоволствието да ви предложим в  нова  сграда с  охрана на прести ...",https://www.imoti.com/obiava/52289001/dava-pod-naem-3-staen-grad-sofiya-iztok,0878833917,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.800851
"1 199 €2 345,04 лв.Не се начислява ДДС",Дава под наем  3-стаен,"град София, Изток","град София, Изток
118 кв.м","3-ти ет., ТЕЦ, Прекрасен 2-стаен апартамент в нова сграда с 24-часова охрана.Хол, тарпезария и куня.2-спални с 1-ба ...",https://www.imoti.com/obiava/55063506/dava-pod-naem-3-staen-grad-sofiya-iztok,089521-21-21,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,2026-01-24T18:27:14.801216
