title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,search_url,scraped_at
"Тристаен апартамент за продажба в кв. Гоце Делчев, София",/tristaen-apartament-za-prodajba-v-kv-goce-delchev-sofiya-10856324,"Гоце Делчев, София",Цена:320 000 €(625 865.60 лв.),Тристаен апартамент в Гоце Делчев,87 кв.м,Тухла,1969 г.,3 етаж,"Функционален 3-стаен апартамент за продажба в София, кв. Гоце Делчев - имот, който съчетава удобна градска локация с комфортно жилищно пространство. Подходящ е както за семейно обитаване, така и за ин..",МАТЕНА ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.296616
Тристаен апартамент в кв. Яворов,/tristaen-apartament-v-kv-yavorov-10856249,"Яворов, София",Цена:390 000 €(762 773.70 лв.),Тристаен апартамент в Яворов,88 кв.м,Тухла,1969 г.,2 етаж,"Имоти Премиер и представя стилен 3-стаен апартамент с изключителна локация в кв. Яворов, гр. София 🏙️

Имаме удоволствието да ви представим този отличен имот - просторен 3-стаен апартамент с обща площ..",ИМОТИ ПРЕМИЕР ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.301133
"Двустаен Апартамент в Гоце Делчев, София",/dvustaen-apartament-v-goce-delchev-sofiya-10856097,"Гоце Делчев, София",Цена:290 000 €(567 190.70 лв.),Двустаен апартамент в Гоце Делчев,85 кв.м,Тухла,1998 г.,,"Реф. № 012796

Агенция за недвижими имоти BAS Properties предлага за продажба двустаен апартамент с отлична локация в ж.к. Гоце Делчев, гр. София, срещу МОЛ България, на метри от бул. България и ул...",BASProperties,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.305471
"Четиристаен Апартамент в Гоце Делчев, София",/chetiristaen-apartament-v-goce-delchev-sofiya-10750305,"Гоце Делчев, София",Цена:320 000 €(625 865.60 лв.),Многостаен апартамент в Гоце Делчев,87 кв.м,Тухла,1970 г.,,"Реф. 012631

Агенция за недвижими имоти BAS Properties предлага за продажба четиристаен, непреходен апартамент в жк. Гоце Делчев, гр. София отлична локация, тиха среда и удобен достъп до центъра. 
..",BASProperties,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.158351
Продава се 3- стаен апартамент в ж.к. Борово,/prodava-se-3-staen-apartament-v-j-k-borovo-10850798,"Борово, София",Цена:177 000 €(346 181.90 лв.),Тристаен апартамент в Борово,60 кв.м,Панел,1969 г.,6 етаж,"Функционален тристаен апартамент с южно изложение в предпочитаната част на кв. Борово
Разпределение: 
  ✶ Входно антре
  ✶ Дневна
  ✶ Спалня
  ✶ Самостоятелна кухня, подходяща и за детска стая
 ..",Севън Естейт,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.162991
Двустаен апартамент в кв. Гео Милев с бърз достъп до Центъра,/dvustaen-apartament-v-kv-geo-milev-s-barz-dostap-do-centara-10855244,"Гоце Делчев, София",Цена:290 000 €(567 190.70 лв.),Двустаен апартамент в Гоце Делчев,85 кв.м,Тухла,1998 г.,7 етаж,"Просторен и светъл двустаен апартамент в кв. Гоце Делчев, разположен на 7-ми етаж от 12 в поддържана сграда с добре запазени общи части. Жилището е с площ от 85 кв.м, предлагащо комфорт и отлични възм..",АЯКС ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.169394
Двустаен апартамент обзаведен в кв. Редута,/dvustaen-apartament-obzaveden-v-kv-reduta-10854688,"Редута, София",Цена:237 500 €(464 509.63 лв.),Двустаен апартамент в Редута,79 кв.м,Тухла,2017 г.,5 етаж,"БПД Имоти’ продава двустаен апартамент в сърцето на кв. Редута уют, простор и светлина! 

Представяме ви чудесен двустаен апартамент с обща площ 79 кв.м. (чиста 69 кв.м.), разположен на 6-ти етаж от..",БПД ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.175050
Продавам тристаен апартамент в кв. Суха река,/prodavam-tristaen-apartament-v-kv-suha-reka-10627981,"Сухата река, София",Цена:214 000 €(418 547.62 лв.),Тристаен апартамент в Сухата река,100 кв.м,Панел,1978 г.,1 етаж,"Апартаментът се намира в близост до спирки на градски транспорт. Разпределение: антре, кухня с тераса, две спални с тераса, хол, баня с тоалетна. Изложения: юг-север. Жилището е след ремонт. Продава с..",Костадинова,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.180228
Двустаен апартамент 70 кв.м Тухла 1989 г. 9 етаж Непоследен,/dvustaen-apartament-70-kv-m-tuhla-1989-g-9-etaj-neposleden-10744391,"Изток, София",Цена:310 000 €(606 307.30 лв.),Двустаен апартамент в Изток,70 кв.м,Тухла,1989 г.,9 етаж,Чудесен двустаен апартамент (перфектен за преустройство в тристаен) в кв. Изток на ъгъла на ул. Жолио Кюри и Райко Алексиев! Предлагаме просторен и функционален двустаен апартамент на топ локация в ед..,ХоумТед,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.185237
Двустаен апартамент кв. Гоце Делчев ул. Метличина поляна,/dvustaen-apartament-kv-goce-delchev-ul-metlichina-polyana-10767079,"Гоце Делчев, София",Цена:225 000 €(440 061.75 лв.),Двустаен апартамент в Гоце Делчев,69 кв.м,Тухла,2024 г.,3 етаж,"Лукс и спокойствие в сърцето на София The New Building, ул. Метличина поляна 15. 

Представяме Ви The New Building модерна жилищна сграда, разположена на една от най-желаните и стратегически точки в..",galya nedeva,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.189705
Двустаен апартамент в кв. Стрелбище,/dvustaen-apartament-v-kv-strelbishte-10854006,"Стрелбище, София",Цена:259 000 €(506 559.97 лв.),Двустаен апартамент в Стрелбище,77 кв.м,Тухла,2026 г.,3 етаж,"Имоти Премиер представя на Вашето внимание просторен двустаен апартамент в бутикова жилищна сграда, която е пред АКТ 16. Сградата е с лусозни общи части и озеленяване и се състои само от 8 апартамента..",ИМОТИ ПРЕМИЕР ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.194225
Мезонет в квартал Дианабад,/mezonet-v-kvartal-dianabad-10854002,"Дианабад, София",Цена:395 000 €(772 552.85 лв.),Мезонет,250 кв.м,Тухла,2019 г.,7 етаж,"В БЛИЗОСТ ДО МЕТРОСТАНЦИЯ! С ВЪЗМОЖНОСТ ЗА ЗАКУПУВАНЕ НА ГАРАЖ КЪМ ИМОТА НА ОТДЕЛНА ЦЕНА! ПАНОРАМНА ТЕРАСА, ПРЕДОСТАВЯЩА ПРЕКРАСНА ГЛЕДКА! С ВЪЗМОЖНОСТ ДА СЕ ПРЕУСТРОИ В ЧЕТИРИСТАЕН! 

🏡 Имоти Преми..",ИМОТИ ПРЕМИЕР ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.200853
Тристаен обзаведен апартамент в кв. Сухата Река,/tristaen-obzaveden-apartament-v-kv-suhata-reka-10579188,"Сухата река, София",Цена:163 000 €(318 800.30 лв.),Тристаен апартамент в Сухата река,67 кв.м,Панел,1998 г.,4 етаж,"Предлагаме просторен тристаен апартамент с отлична локация - в непосредствена близост до парк „Герена“, пазар „Герена“, спирки на градски транспорт, училища, детска градина, супермаркет и метростанция..",АЯКС ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.206310
Двустаен апартамент в кв. Редута,/dvustaen-apartament-v-kv-reduta-10682328,"Редута, София",Цена:200 000 €(391 166 лв.),Двустаен апартамент в Редута,70 кв.м,Панел,1990 г.,7 етаж,"Предлагаме за продажба двустаен апартамент с площ от 70 кв.м, 
разположен на 7-ми етаж от 7-етажна сграда с добре поддържани общи части и изряден покрив. 

Сградата е с асансьор и контролиран достъп, ..",АЯКС ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.210917
3-стаен тухлен апартамент в кв. Борово,/3-staen-tuhlen-apartament-v-kv-borovo-10853592,"Борово, София",Цена:269 000 €(526 118.27 лв.),Тристаен апартамент в Борово,70 кв.м,Тухла,1966 г.,,"Представяме ви стилен и функционален тристаен тухлен апартамент на ул. ”Дойран”, разположен в един от най-желаните райони на града - квартал Борово. 

Основни характеристики: 
Площ: 70 кв.м
Разпре..",Георги Василев,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:18.215526
