title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Двустаен, 66m²",Тухла,София,кв. Хладилника,"202,687",EUR,,/offer/apartament-za-prodazhba/dvustaen-66m2-sofiya-kv.-hladilnika/as1644767,1,,,1644767,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206789
"Тристаен, 91m²",Тухла,София,кв. Хладилника,"278,354",EUR,,/offer/apartament-za-prodazhba/tristaen-91m2-sofiya-kv.-hladilnika/as1644755,1,,,1644755,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206792
"Двустаен, 67m²",Тухла,София,кв. Хладилника,"199,967",EUR,,/offer/apartament-za-prodazhba/dvustaen-67m2-sofiya-kv.-hladilnika/as1644757,1,,,1644757,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206796
"Тристаен, 103m²",Тухла,София,кв. Хладилника,"306,749",EUR,,/offer/apartament-za-prodazhba/tristaen-103m2-sofiya-kv.-hladilnika/as1644769,1,,,1644769,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206798
"Тристаен, 133m²","Тухла, Прокарва се",София,кв. Хладилника,"400,080",EUR,,/offer/apartament-za-prodazhba/tristaen-133m2-sofiya-kv.-hladilnika/as1644706,3,,,1644706,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206801
"Тристаен, 130m²","Тухла, Прокарва се",София,кв. Хладилника,"435,000",EUR,,/offer/apartament-za-prodazhba/tristaen-130m2-sofiya-kv.-hladilnika/as1651086,3,,,1651086,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206805
"Двустаен, 96m²","Тухла, Прокарва се",София,кв. Хладилника,"299,796",EUR,,/offer/apartament-za-prodazhba/dvustaen-96m2-sofiya-kv.-hladilnika/as1610167,6,,,1610167,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206807
"Тристаен, 158m²","Тухла, Прокарва се",София,кв. Хладилника,"410,786",EUR,,/offer/apartament-za-prodazhba/tristaen-158m2-sofiya-kv.-hladilnika/as1610143,6,,,1610143,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206810
"Двустаен, 107m²","Тухла, Прокарва се",София,кв. Хладилника,"291,343",EUR,,/offer/apartament-za-prodazhba/dvustaen-107m2-sofiya-kv.-hladilnika/as1610150,6,,,1610150,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206812
"Многостаен, 262m²","Тухла, Прокарва се",София,кв. Хладилника,"624,948",EUR,,/offer/apartament-za-prodazhba/mnogostaen-262m2-sofiya-kv.-hladilnika/as1607412,0,,,1607412,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=527,2026-01-24T23:41:28.206815
