id,,url,title,location,description,price,photos,main_photo,is_favorite,reference_number,contact_info,price_per_m2,floor,is_top_ad
1570035,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-134m2-sofiya-zhk.-ovcha-kupel/as1570035,"Тристаен, 134m²","жк. Овча Купел, София","Тухла, Необзаведен, Локално отопление","{'value': '231,370', 'currency': 'EUR', 'price_per_square_meter': '1,726 EUR/m²'}","['https://homes.bg/2024-07-29_2/110612006', 'https://homes.bg/2024-07-29_2/110612005', 'https://homes.bg/2024-07-29_2/110612011', 'https://homes.bg/2024-07-29_2/110612008', 'https://homes.bg/2024-07-29_2/110612009', 'https://homes.bg/2024-07-29_2/110612004', 'https://homes.bg/2024-07-29_2/110612007', 'https://homes.bg/2024-06-06_1/109909857', 'https://homes.bg/2024-06-06_1/109909860', 'https://homes.bg/2024-07-29_2/110611976']",https://homes.bg/2024-07-29_2/110612006,False,,,,,
1485561,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-97m2-sofiya-zhk.-ovcha-kupel/as1485561,"Тристаен, 97m²","жк. Овча Купел, София","Тухла, Необзаведен, Локално отопление","{'value': '164,900', 'currency': 'EUR', 'price_per_square_meter': '1,700 EUR/m²'}","['https://homes.bg/2024-07-29_2/110612067', 'https://homes.bg/2024-07-29_2/110612070', 'https://homes.bg/2024-07-29_2/110612068', 'https://homes.bg/2024-07-29_2/110612069', 'https://homes.bg/2024-07-29_2/110612071', 'https://homes.bg/2024-07-29_2/110612066', 'https://homes.bg/2024-06-06_1/109909841', 'https://homes.bg/2024-06-06_1/109909838', 'https://homes.bg/2024-06-06_1/109909855', 'https://homes.bg/2024-06-06_1/109909836']",https://homes.bg/2024-07-29_2/110612067,False,,,,,
1577991,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-85m2-sofiya-zhk.-ovcha-kupel/as1577991,"Двустаен, 85m²","жк. Овча Купел, София","Тухла, Необзаведен, Локално отопление","{'value': '144,500', 'currency': 'EUR', 'price_per_square_meter': '1,700 EUR/m²'}","['https://homes.bg/2024-07-29_2/110612049', 'https://homes.bg/2024-07-29_2/110612043', 'https://homes.bg/2024-07-29_2/110612042', 'https://homes.bg/2024-07-29_2/110612044', 'https://homes.bg/2024-07-29_2/110612045', 'https://homes.bg/2024-07-29_2/110612047', 'https://homes.bg/2024-07-29_2/110612048', 'https://homes.bg/2024-07-16_2/110436441', 'https://homes.bg/2024-07-16_2/110436444', 'https://homes.bg/2024-07-16_2/110436443']",https://homes.bg/2024-07-29_2/110612049,False,,,,,
1506419,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-59m2-sofiya-zhk.-ovcha-kupel/as1506419,"Двустаен, 59m²","жк. Овча Купел, София","Тухла, Прокарва се","{'value': '100,000', 'currency': 'EUR', 'price_per_square_meter': '1,694 EUR/m²'}","['https://homes.bg/2023-07-19_1/102329136', 'https://homes.bg/2023-07-19_1/102329137', 'https://homes.bg/2023-07-19_1/102329138']",https://homes.bg/2023-07-19_1/102329136,False,,,,,
1603256,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-95m2-sofiya-zhk.-ovcha-kupel/as1603256,"Тристаен, 95m²","жк. Овча Купел, София","Тухла, Необзаведен, Прокарва се","{'value': '175,000', 'currency': 'EUR', 'price_per_square_meter': '1,842 EUR/m²'}","['https://homes.bg/2024-12-11_1/112396795', 'https://homes.bg/2024-12-11_1/112396796', 'https://homes.bg/2024-12-11_1/112396797']",https://homes.bg/2024-12-11_1/112396795,False,,,,,
1585782,as,https://homes.bg/offer/apartament-za-prodazhba/ednostaen-46m2-sofiya-zhk.-ovcha-kupel/as1585782,"Едностаен, 46m²","жк. Овча Купел, София","Тухла, Обзаведен, Електричество","{'value': '119,000', 'currency': 'EUR', 'price_per_square_meter': '2,586 EUR/m²'}","['https://homes.bg/2024-09-02_2/111084422', 'https://homes.bg/2024-09-02_2/111084423', 'https://homes.bg/2024-09-02_2/111084425', 'https://homes.bg/2024-09-02_2/111084424', 'https://homes.bg/2024-09-02_2/111084427', 'https://homes.bg/2024-09-02_2/111084429', 'https://homes.bg/2024-09-02_2/111084426', 'https://homes.bg/2024-09-02_2/111084428', 'https://homes.bg/2024-09-02_2/111084430', 'https://homes.bg/2024-09-02_2/111084436']",https://homes.bg/2024-09-02_2/111084422,False,,,,,
1578106,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-85m2-sofiya-zhk.-ovcha-kupel/as1578106,"Тристаен, 85m²","жк. Овча Купел, София","Тухла, Прокарва се","{'value': '139,500', 'currency': 'EUR', 'price_per_square_meter': '1,641 EUR/m²'}","['https://homes.bg/2024-07-17_1/110452438', 'https://homes.bg/2024-07-17_1/110452439']",https://homes.bg/2024-07-17_1/110452438,False,,,,,
1551044,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-114m2-sofiya-zhk.-ovcha-kupel/as1551044,"Тристаен, 114m²","жк. Овча Купел, София",Тухла,"{'value': '226,000', 'currency': 'EUR', 'price_per_square_meter': '1,982 EUR/m²'}","['https://homes.bg/2024-02-28_1/108566157', 'https://homes.bg/2024-02-28_1/108566158']",https://homes.bg/2024-02-28_1/108566157,False,,,,,
1432923,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-126m2-sofiya-zhk.-ovcha-kupel/as1432923,"Тристаен, 126m²","жк. Овча Купел, София",Необзаведен,"{'value': '205,500', 'currency': 'EUR', 'price_per_square_meter': '1,630 EUR/m²'}","['https://homes.bg/2022-08-12_1/87355140', 'https://homes.bg/2022-08-12_1/87355143', 'https://homes.bg/2022-08-12_1/87355145', 'https://homes.bg/2022-08-12_1/87355147', 'https://homes.bg/2022-08-12_1/87355150']",https://homes.bg/2022-08-12_1/87355140,False,,,,,
1528740,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-73m2-sofiya-zhk.-ovcha-kupel/as1528740,"Двустаен, 73m²","жк. Овча Купел, София",Необзаведен,"{'value': '132,500', 'currency': 'EUR', 'price_per_square_meter': '1,815 EUR/m²'}","['https://homes.bg/2023-11-07_1/106985113', 'https://homes.bg/2023-11-07_1/106985115', 'https://homes.bg/2023-11-07_1/106985117', 'https://homes.bg/2023-11-07_1/106985119', 'https://homes.bg/2023-11-07_1/106985121']",https://homes.bg/2023-11-07_1/106985113,False,,,,,
