price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
850 €,Двустаен апартамент,"гр. София / кв. Драгалевци / Софийска област, България",Площ:60 м²Спални:1Етаж:2Етажност на сградата:8,,https://www.suprimmo.bg/imot-137493-moderen-dvustaen-apartament-pod-naem-do-restorant-c233st-la-vie/,Kbs 137493,наем,Suprimmo,3,368,14.17,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.890113
2 100 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:160 м²Спални:2Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-122448-velikolepen-tristaen-apartament-pod-naem-do-ndk/,Kbs 122448,наем,Suprimmo,3,368,13.12,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.891053
600 €,Двустаен апартамент,"гр. София / кв. Красно село / Софийска област, България",Площ:75 м²Спални:1Етаж:1Етажност на сградата:6,,https://www.suprimmo.bg/imot-137458-dvustaen-apartament-pod-naem-do-metrostantsiya-krasno-selo/,SOF-137458,наем,Suprimmo,3,368,8.0,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.891947
1 300 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",Площ:127 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-119815-eleganten-tristaen-apartament-pod-naem-v-kompleks-emerald-v-sofiya/,SOF-119815,наем,Suprimmo,3,368,10.24,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.892885
1 050 €,Двустаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:85 м²Спални:1Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137418-moderen-apartament-pod-naem-na-metri-ot-ndk-v-tsentara-na-sofiya/,SOF-137418,наем,Suprimmo,3,368,12.35,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.893779
599 €,Двустаен апартамент,"гр. София / кв. Люлин 10 / Софийска област, България",Площ:70 м²Спални:1Етаж:2Етажност на сградата:11,,https://www.suprimmo.bg/imot-137431-chisto-nov-dvustaen-apartament-pod-naem-v-kv-lyulin-10/,Kbs 137431,наем,Suprimmo,3,368,8.56,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.894659
550 €,Двустаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:60 м²Спални:1Етаж:4Етажност на сградата:5,,https://www.suprimmo.bg/imot-137461-dvustaen-apartament-pod-naem-na-ullyuben-karavelov/,SOF 137461,наем,Suprimmo,3,368,9.17,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.895600
890 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:78 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-101203-chudesen-apartament-s-gledka-kam-planinata-na-metri-ot-hotel-marinela/,SOF 101203,продава,Suprimmo,3,368,11.41,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.896566
700 €,Тристаен апартамент,"гр. София / кв. Студентски град / Софийска област, България",Площ:75 м²Спални:2Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-137401-atraktiven-tristaen-apartament-pod-naem-v-sartseto-na-studentski-grad/,SOF-137401,наем,Suprimmo,3,368,9.33,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.897452
700 €,Тристаен апартамент,"гр. София / кв. Банишора / Софийска област, България",Площ:125 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137406-uyuten-tristaen-apartament-s-dve-parkomesta-pod-naem-v-nova-sgrada-v-banishora/,SOF-137406,наем,Suprimmo,3,368,5.6,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.898371
